Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_347:0000142,LShp_E_1to3,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000139,Leaf shape,Morphological,The leaf shape.,,LShp,,Leaf,shape,,,CO_347:0000140,Leaf shape - Estimation,Estimation,Observe leaves shape and rate it.,,,CO_347:0000141,1-3 Leaf shape scale,Nominal,,,,,1= Flat,2= Shallow cup,3= Deep cup,,,,,,,
,CO_347:0000145,LDW_M_g,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000143,Leaf dry weight,Morphological,The leaf dry weight.,,LDW,,Leaf,dry weight,,,CO_347:0000144,Leaf DW - Measurement,Measurement,Measure leaf dry weight and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000148,MStmDia_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000146,Main stem diameter,Morphological,The main stem diameter.,,MStmDia,,Main stem,diameter,,,CO_347:0000147,Main stem diameter - Measurement,Measurement,Measure main stem diameter in between 3rd and 5th internode and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000151,MStmLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000149,Main stem length,Morphological,The length of main stem.,,MStmLng,,Main stem,length,,,CO_347:0000150,Main stem length - Measurement,Measurement,Measure main stem length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000155,NodeN_Ct_node,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000152,Main stem node number,Morphological,The number of nodes up to primary raceme on main stem.,,NodeN,,Node,number,,,CO_347:0000153,Node number - Counting,Counting,"Count nodes in a sampling unit (plant, main stem, branch, etc).",,,CO_347:0000154,node,Numerical,,,,,,,,,,,,,,
,CO_347:0000158,MStmDW_M_g,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000156,Main stem dry weight,Morphological,The main stem dry weight.,,MStmDW,,Main stem,dry weight,,,CO_347:0000157,Main stem DW - Measurement,Measurement,Measure main stem dry weight and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000161,MFlwLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000159,Male flower length,Morphological,The length of male flowers.,,MFlwLng,,Male flower,length,,,CO_347:0000160,Male flower length - Measurement,Measurement,Measure male flower length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000164,PetLng_M_cm,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000162,Petiole length,Morphological,The length of petioles.,,PetLng,,Petiole,length,,,CO_347:0000163,Petiole length - Measurement,Measurement,Measure petioles length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000167,PH_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000165,Plant height,Morphological,"The plant height from soil to top part of pnat, apex.",,PH,,Plant,height,,,CO_347:0000166,Plant height - Measurement,Measurement,Measure the plant height from soil to top part of the canopy and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000170,PRCCovLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000168,Primary raceme capsule covered length,Morphological,Length of primary raceme covered with capsules.,,PRCCovLng,,Primary raceme,capsule covered length,,,CO_347:0000169,Primary raceme capsule covered length - Measurement,Measurement,Measure length of primary raceme covered with capsules and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
